strata,trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
S1,0,0.8366906682,0.8405383029,0.6924450173,0.3075549827,0.0363552331,0,0.6211900697,0.7636999649,LINEAR
S1,0,0.8531374747,0.8546550888,0.6924450173,0.3075549827,0.0363552331,1.9607760461,0.6211900697,0.7636999649,LINEAR
S1,0,0.8608481074,0.8634854289,0.6924450173,0.3075549827,0.0363552331,4.864612412,0.6211900697,0.7636999649,LINEAR
S1,0,0.8643916186,0.8664442175,0.6924450173,0.3075549827,0.0363552331,6.0382294442,0.6211900697,0.7636999649,LINEAR
S1,0,0.888283035,0.8897531891,0.6924450173,0.3075549827,0.0363552331,5.486026711,0.6211900697,0.7636999649,LINEAR
S1,0,0.898119201,0.8988432155,0.6924450173,0.3075549827,0.0363552331,3.8982248979,0.6211900697,0.7636999649,LINEAR
S1,0,0.908354084,0.9175995662,0.6924450173,0.3075549827,0.0363552331,10.95484438,0.6211900697,0.7636999649,LINEAR
S1,0,0.9236723646,0.9251454393,0.6924450173,0.3075549827,0.0363552331,7.5027164384,0.6211900697,0.7636999649,LINEAR
S1,0,0.9298119787,0.9319627897,0.6924450173,0.3075549827,0.0363552331,9.3100095973,0.6211900697,0.7636999649,LINEAR
S1,0,0.9353821161,0.9440754512,0.6924450173,0.3075549827,0.0363552331,11.117302756,0.6211900697,0.7636999649,LINEAR
S1,0,0.9531952606,0.9565864589,0.6924450173,0.3075549827,0.0363552331,12.200091739,0.6211900697,0.7636999649,LINEAR
S1,0,0.9687837092,0.9730145151,0.6924450173,0.3075549827,0.0363552331,6.9874403041,0.6211900697,0.7636999649,LINEAR
S1,0,0.9937458618,0.9969099019,0.5476281791,0.4523718209,0.0405295494,0,0.468191722,0.6270646362,LINEAR
S1,0,0.9995329678,1.0029243621,0.5476281791,0.4523718209,0.0405295494,4.157622429,0.468191722,0.6270646362,LINEAR
S1,0,1.026841278,1.0313763881,0.5476281791,0.4523718209,0.0405295494,4.2876958097,0.468191722,0.6270646362,LINEAR
S1,0,1.0471125438,1.0481426464,0.5476281791,0.4523718209,0.0405295494,2.9126048324,0.468191722,0.6270646362,LINEAR
S1,0,1.0565770611,1.0594001177,0.5476281791,0.4523718209,0.0405295494,5.3822357567,0.468191722,0.6270646362,LINEAR
S1,0,1.0617670964,1.0638420344,0.5476281791,0.4523718209,0.0405295494,4.620628093,0.468191722,0.6270646362,LINEAR
S1,0,1.0958319844,1.0969867508,0.4908270366,0.5091729634,0.0401708453,0,0.4120936265,0.5695604467,LINEAR
S1,0,1.0995198996,1.1021444865,0.445247743,0.554752257,0.0391846327,0,0.3684472742,0.5220482118,LINEAR
S1,0,1.1386818117,1.1491517862,0.445247743,0.554752257,0.0391846327,9.4632318734,0.3684472742,0.5220482118,LINEAR
S1,0,1.183258476,1.183416326,0.445247743,0.554752257,0.0391846327,8.6232993911,0.3684472742,0.5220482118,LINEAR
S1,0,1.1843215411,1.1880822146,0.445247743,0.554752257,0.0391846327,8.5987182454,0.3684472742,0.5220482118,LINEAR
S1,0,1.1899936879,1.1905957597,0.445247743,0.554752257,0.0391846327,9.4820924974,0.3684472742,0.5220482118,LINEAR
S1,0,1.1989958414,1.2105225487,0.445247743,0.554752257,0.0391846327,13.25307379,0.3684472742,0.5220482118,LINEAR
S1,0,1.2203012959,1.221332068,0.445247743,0.554752257,0.0391846327,12.806544563,0.3684472742,0.5220482118,LINEAR
S1,0,1.2631814852,1.2640966118,0.445247743,0.554752257,0.0391846327,6.1336209285,0.3684472742,0.5220482118,LINEAR
S1,0,1.2856177457,1.2861356532,0.445247743,0.554752257,0.0391846327,2.9650670027,0.3684472742,0.5220482118,LINEAR
S1,0,1.2960027964,1.2977939601,0.445247743,0.554752257,0.0391846327,2.8102536832,0.3684472742,0.5220482118,LINEAR
S1,0,1.312252203,1.3123069261,0.445247743,0.554752257,0.0391846327,1.7066321211,0.3684472742,0.5220482118,LINEAR
S1,0,1.3149147627,1.3200814677,0.445247743,0.554752257,0.0391846327,2.5900063731,0.3684472742,0.5220482118,LINEAR
S1,0,1.3289296397,1.3428923888,0.359425548,0.640574452,0.0375262044,0,0.2858755389,0.4329755572,LINEAR
S1,0,1.3788362211,1.3924853063,0.3562645203,0.6437354797,0.0374788599,0,0.2828073047,0.4297217358,LINEAR
S1,0,1.4166999764,1.4210122895,0.3562645203,0.6437354797,0.0374788599,6.5885394829,0.2828073047,0.4297217358,LINEAR
S1,0,1.4378147782,1.4395568298,0.3562645203,0.6437354797,0.0374788599,6.7546692781,0.2828073047,0.4297217358,LINEAR
S1,0,1.4441246022,1.4519914239,0.3562645203,0.6437354797,0.0374788599,7.4828762968,0.2828073047,0.4297217358,LINEAR
S1,0,1.5028517365,1.5113617915,0.3562645203,0.6437354797,0.0374788599,8.0965283107,0.2828073047,0.4297217358,LINEAR
S1,0,1.5548538929,1.5675414633,0.3562645203,0.6437354797,0.0374788599,22.995757878,0.2828073047,0.4297217358,LINEAR
S1,0,1.59549681,1.6041911726,0.3562645203,0.6437354797,0.0374788599,15.70873006,0.2828073047,0.4297217358,LINEAR
S1,0,1.6191917541,1.6215738072,0.3562645203,0.6437354797,0.0374788599,13.919537687,0.2828073047,0.4297217358,LINEAR
S1,0,1.6240363759,1.6242564858,0.3562645203,0.6437354797,0.0374788599,13.306376229,0.2828073047,0.4297217358,LINEAR
S1,0,1.6307452493,1.6310164495,0.3562645203,0.6437354797,0.0374788599,12.693214771,0.2828073047,0.4297217358,LINEAR
S1,0,1.6688984938,1.6701530937,0.2174261725,0.7825738275,0.0336712171,0,0.1514317998,0.2834205453,LINEAR
S1,0,1.6870525919,1.6893346537,0.211174643,0.788825357,0.0333171637,0,0.1458742021,0.2764750839,LINEAR
S1,0,1.7142651787,1.7227269096,0.211174643,0.788825357,0.0333171637,6.3958203681,0.1458742021,0.2764750839,LINEAR
S1,0,1.7346135587,1.7376319745,0.211174643,0.788825357,0.0333171637,6.7104160529,0.1458742021,0.2764750839,LINEAR
S1,0,1.7841351985,1.7859499878,0.2103319069,0.7896680931,0.0332954232,0,0.1450740766,0.2755897373,LINEAR
S1,0,1.8529709051,1.8825190162,0.2103319069,0.7896680931,0.0332954232,13.4680785,0.1450740766,0.2755897373,LINEAR
S1,0,1.9232784042,1.9243420509,0.1289899878,0.8710100122,0.0271416699,0,0.0757932923,0.1821866833,LINEAR
S1,0,1.9283252112,1.933035247,0.1289899878,0.8710100122,0.0271416699,4.4151601766,0.0757932923,0.1821866833,LINEAR
S1,0,2.0019805245,2.0036045976,0.1289899878,0.8710100122,0.0271416699,13.253131922,0.0757932923,0.1821866833,LINEAR
S1,0,2.0313321755,2.0348897271,0.1289899878,0.8710100122,0.0271416699,17.375223125,0.0757932923,0.1821866833,LINEAR
S1,0,2.0518327684,2.0578679011,0.1289899878,0.8710100122,0.0271416699,17.184626288,0.0757932923,0.1821866833,LINEAR
S1,0,2.1127647967,2.1136259653,0.1289899878,0.8710100122,0.0271416699,4.8415247109,0.0757932923,0.1821866833,LINEAR
