strata,trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
S1,1,1.4059945527,1.4121384881,0.4710961018,0.5289038982,0.0413461277,4.2958591616,0.3900591806,0.552133023,LINEAR
S1,1,1.4220140283,1.4339771275,0.4629591007,0.5370408993,0.041420555,0,0.3817763046,0.5441418968,LINEAR
S1,1,1.4472591593,1.4506173897,0.4629591007,0.5370408993,0.041420555,0.1928441117,0.3817763046,0.5441418968,LINEAR
S1,1,1.4684850127,1.4700911752,0.4629591007,0.5370408993,0.041420555,1.4454248826,0.3817763046,0.5441418968,LINEAR
S1,1,1.489069534,1.4931626082,0.4629591007,0.5370408993,0.041420555,6.2340023833,0.3817763046,0.5441418968,LINEAR
S1,1,1.5075637945,1.515550421,0.4629591007,0.5370408993,0.041420555,3.7748344463,0.3817763046,0.5441418968,LINEAR
S1,1,1.5266977022,1.5297324606,0.4629591007,0.5370408993,0.041420555,1.0356677174,0.3817763046,0.5441418968,LINEAR
S1,1,1.5459688837,1.547502222,0.4629591007,0.5370408993,0.041420555,2.7391665057,0.3817763046,0.5441418968,LINEAR
S1,1,1.5600609169,1.5636978629,0.2054042397,0.7945957603,0.0316621715,0,0.1433475238,0.2674609556,LINEAR
S1,1,1.6280453173,1.6305076321,0.2054042397,0.7945957603,0.0316621715,7.2731658754,0.1433475238,0.2674609556,LINEAR
S1,1,1.6663295892,1.6719722435,0.2054042397,0.7945957603,0.0316621715,14.615580296,0.1433475238,0.2674609556,LINEAR
S1,1,1.6762420093,1.6778749777,0.2054042397,0.7945957603,0.0316621715,12.852111349,0.1433475238,0.2674609556,LINEAR
S1,1,1.7524879486,1.7533901785,0.2054042397,0.7945957603,0.0316621715,21.160792876,0.1433475238,0.2674609556,LINEAR
S1,1,1.7614039946,1.7727285027,0.2054042397,0.7945957603,0.0316621715,20.067848858,0.1433475238,0.2674609556,LINEAR
S1,1,1.7975478536,1.7983057154,0.2054042397,0.7945957603,0.0316621715,22.072276429,0.1433475238,0.2674609556,LINEAR
S1,1,1.8029855988,1.8039071345,0.2054042397,0.7945957603,0.0316621715,4.6761940059,0.1433475238,0.2674609556,LINEAR
S1,1,1.8169118064,1.8283099872,0.2054042397,0.7945957603,0.0316621715,0.2885586798,0.1433475238,0.2674609556,LINEAR
S1,1,1.8945176899,1.9144733473,0.2054042397,0.7945957603,0.0316621715,12.030338592,0.1433475238,0.2674609556,LINEAR
S1,1,1.9205441126,1.9216009937,0.2054042397,0.7945957603,0.0316621715,7.6427032658,0.1433475238,0.2674609556,LINEAR
S1,1,1.9834604454,1.9865475399,0.2054042397,0.7945957603,0.0316621715,18.764674412,0.1433475238,0.2674609556,LINEAR
S1,1,1.9902833221,1.9980409243,0.2054042397,0.7945957603,0.0316621715,15.635540641,0.1433475238,0.2674609556,LINEAR
S1,1,2.0411766171,2.0449643796,0.2054042397,0.7945957603,0.0316621715,9.4698844752,0.1433475238,0.2674609556,LINEAR
S1,1,2.167872034,2.1729439664,0.2054042397,0.7945957603,0.0316621715,11.138451892,0.1433475238,0.2674609556,LINEAR
S1,1,2.1733911578,2.1926270909,0.2054042397,0.7945957603,0.0316621715,7.5285047643,0.1433475238,0.2674609556,LINEAR
S1,1,2.2165258969,2.2272536801,0.0583514902,0.9416485098,0.0190711179,0,0.0209727861,0.0957301944,LINEAR
S1,1,2.4002961814,2.4235472581,0.0583514902,0.9416485098,0.0190711179,2.0332590767,0.0209727861,0.0957301944,LINEAR
S1,1,2.6569234836,2.696594072,0.0583514902,0.9416485098,0.0190711179,9.0753227111,0.0209727861,0.0957301944,LINEAR
S1,1,2.8488836586,2.8519867588,0.0282919909,0.9717080091,0.0127287748,0,0.0033440507,0.053239931,LINEAR
S1,1,3.1781320181,3.1810623472,0.0282919909,0.9717080091,0.0127287748,15.052599462,0.0033440507,0.053239931,LINEAR
S1,1,3.2508952967,3.2775489799,0.0282919909,0.9717080091,0.0127287748,23.221620275,0.0033440507,0.053239931,LINEAR
S1,1,3.5471344059,3.6182788852,0,1,0,0,0,0,LINEAR
S2,0,0.3522829963,0.354334888,0.8865904796,0.1134095204,0.0286837118,0,0.8303714375,0.9428095217,LINEAR
S2,0,0.402839276,0.4230207758,0.8865904796,0.1134095204,0.0286837118,0.5075076743,0.8303714375,0.9428095217,LINEAR
S2,0,0.5136454641,0.5243901377,0.8460725184,0.1539274816,0.0311510019,0,0.7850176766,0.9071273602,LINEAR
S2,0,0.550939064,0.555978388,0.8460725184,0.1539274816,0.0311510019,4.5856713941,0.7850176766,0.9071273602,LINEAR
S2,0,0.6011852445,0.6199796828,0.8460725184,0.1539274816,0.0311510019,2.9033466635,0.7850176766,0.9071273602,LINEAR
S2,0,0.6580882571,0.6780072469,0.8034813472,0.1965186528,0.0334285435,0,0.737962606,0.8690000885,LINEAR
S2,0,0.7763281059,0.7862433209,0.8034813472,0.1965186528,0.0334285435,9.0655939964,0.737962606,0.8690000885,LINEAR
S2,0,0.8992985617,0.9003515336,0.7513634276,0.2486365724,0.0363098282,0,0.680197472,0.8225293833,LINEAR
S2,0,0.9383214517,0.9562057279,0.7490709976,0.2509290024,0.0363944433,0,0.6777391995,0.8204027957,LINEAR
