trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
0,1.6336969531,1.6553451732,0.6323669907,0.3676330093,0.0375742684,17.038012468,0.5587227778,0.7060112036,LINEAR
0,1.6984667181,1.7003605299,0.6323669907,0.3676330093,0.0375742684,23.035717221,0.5587227778,0.7060112036,LINEAR
0,1.7268264428,1.7304390948,0.6323669907,0.3676330093,0.0375742684,26.313318026,0.5587227778,0.7060112036,LINEAR
0,1.772765381,1.7812046693,0.6323669907,0.3676330093,0.0375742684,12.416472939,0.5587227778,0.7060112036,LINEAR
0,1.7899222049,1.7960607958,0.6323669907,0.3676330093,0.0375742684,9.1643473822,0.5587227778,0.7060112036,LINEAR
0,1.8021519412,1.8094339733,0.6323669907,0.3676330093,0.0375742684,10.303091116,0.5587227778,0.7060112036,LINEAR
0,1.8689883634,1.87809158,0.6323669907,0.3676330093,0.0375742684,9.2135726493,0.5587227778,0.7060112036,LINEAR
0,1.8822040694,1.8878678628,0.6323669907,0.3676330093,0.0375742684,8.124054183,0.5587227778,0.7060112036,LINEAR
0,1.9056229154,1.9134375633,0.5901057148,0.4098942852,0.0383700944,0,0.5149017116,0.665309718,LINEAR
0,1.9736219232,1.9751408597,0.5901057148,0.4098942852,0.0383700944,2.3883080139,0.5149017116,0.665309718,LINEAR
0,1.9843869668,1.9847207533,0.5901057148,0.4098942852,0.0383700944,3.1333498291,0.5149017116,0.665309718,LINEAR
0,1.9854773505,1.9856358895,0.5901057148,0.4098942852,0.0383700944,1.7390854711,0.5149017116,0.665309718,LINEAR
0,2.0466034085,2.0502776122,0.5901057148,0.4098942852,0.0383700944,4.5149919162,0.5149017116,0.665309718,LINEAR
0,2.0611605555,2.0772520551,0.5901057148,0.4098942852,0.0383700944,3.0748510899,0.5149017116,0.665309718,LINEAR
0,2.1357897663,2.1418922464,0.5626827266,0.4373172734,0.0391300193,0,0.4859892982,0.6393761551,LINEAR
0,2.145419062,2.1533486573,0.5626827266,0.4373172734,0.0391300193,0.509082192,0.4859892982,0.6393761551,LINEAR
0,2.194653973,2.2219077456,0.5626827266,0.4373172734,0.0391300193,19.942331899,0.4859892982,0.6393761551,LINEAR
0,2.244399201,2.2484758775,0.5626827266,0.4373172734,0.0391300193,17.905461105,0.4859892982,0.6393761551,LINEAR
0,2.2833776643,2.2837711556,0.5626827266,0.4373172734,0.0391300193,9.0673092902,0.4859892982,0.6393761551,LINEAR
0,2.2928603366,2.303016968,0.5626827266,0.4373172734,0.0391300193,7.2990236472,0.4859892982,0.6393761551,LINEAR
0,2.3175714683,2.3337574431,0.5626827266,0.4373172734,0.0391300193,4.3992115319,0.4859892982,0.6393761551,LINEAR
0,2.3777661624,2.3795658507,0.4156516016,0.5843483984,0.0389654352,0,0.3392807521,0.4920224512,LINEAR
0,2.4174127571,2.4257725448,0.4156516016,0.5843483984,0.0389654352,1.0638048339,0.3392807521,0.4920224512,LINEAR
0,2.4349468015,2.4416668526,0.4156516016,0.5843483984,0.0389654352,4.7646715957,0.3392807521,0.4920224512,LINEAR
0,2.5143511425,2.52242779,0.4005469104,0.5994530896,0.0383354506,0,0.3254108078,0.4756830129,LINEAR
0,2.5587279431,2.5933855492,0.4005469104,0.5994530896,0.0383354506,4.3859293755,0.3254108078,0.4756830129,LINEAR
0,2.5963041087,2.6101989817,0.4005469104,0.5994530896,0.0383354506,3.6763989577,0.3254108078,0.4756830129,LINEAR
0,2.6189237955,2.6267716707,0.369873785,0.630126215,0.0370606808,0,0.2972361854,0.4425113845,LINEAR
0,2.695671012,2.7219809265,0.369873785,0.630126215,0.0370606808,1.6810137609,0.2972361854,0.4425113845,LINEAR
0,2.7265257912,2.7649550104,0.369873785,0.630126215,0.0370606808,6.6920237203,0.2972361854,0.4425113845,LINEAR
0,2.7832200797,2.7978320961,0.369873785,0.630126215,0.0370606808,5.4994361802,0.2972361854,0.4425113845,LINEAR
0,2.8585819853,2.8692560939,0.369873785,0.630126215,0.0370606808,4.2301004792,0.2972361854,0.4425113845,LINEAR
0,2.9500105244,2.9527654231,0.369873785,0.630126215,0.0370606808,2.8824903975,0.2972361854,0.4425113845,LINEAR
0,3.0176648125,3.0266967532,0.369873785,0.630126215,0.0370606808,6.3616748076,0.2972361854,0.4425113845,LINEAR
0,3.0713527405,3.0718632059,0.369873785,0.630126215,0.0370606808,9.3492522661,0.2972361854,0.4425113845,LINEAR
0,3.0964882515,3.1302912556,0.369873785,0.630126215,0.0370606808,11.376527534,0.2972361854,0.4425113845,LINEAR
0,3.1587047887,3.1826712499,0.369873785,0.630126215,0.0370606808,6.5393826527,0.2972361854,0.4425113845,LINEAR
0,3.2018413278,3.2130928616,0.369873785,0.630126215,0.0370606808,10.150458888,0.2972361854,0.4425113845,LINEAR
0,3.2142477529,3.2148617546,0.369873785,0.630126215,0.0370606808,7.1086590702,0.2972361854,0.4425113845,LINEAR
0,3.2735151169,3.3304780605,0.369873785,0.630126215,0.0370606808,12.230772733,0.2972361854,0.4425113845,LINEAR
