trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
1,0.3114022997,0.3203563035,0.883986812,0.116013188,0.0266680977,12.22612119,0.831718301,0.9362553231,LINEAR
1,0.3303466015,0.3408353026,0.883986812,0.116013188,0.0266680977,15.395802405,0.831718301,0.9362553231,LINEAR
1,0.3553087963,0.3601800836,0.883986812,0.116013188,0.0266680977,28.062492078,0.831718301,0.9362553231,LINEAR
1,0.3894920894,0.3920039269,0.883986812,0.116013188,0.0266680977,33.955258059,0.831718301,0.9362553231,LINEAR
1,0.4873339399,0.4917228822,0.883986812,0.116013188,0.0266680977,5.3708577238,0.831718301,0.9362553231,LINEAR
1,0.5166389721,0.5183988246,0.883986812,0.116013188,0.0266680977,2.7552036726,0.831718301,0.9362553231,LINEAR
1,0.5427166307,0.5443408375,0.883986812,0.116013188,0.0266680977,1.8356443163,0.831718301,0.9362553231,LINEAR
1,0.5757853738,0.5776174089,0.883986812,0.116013188,0.0266680977,5.0053255312,0.831718301,0.9362553231,LINEAR
1,0.5849349431,0.5954964968,0.883986812,0.116013188,0.0266680977,9.3068464594,0.831718301,0.9362553231,LINEAR
1,0.6614043582,0.6702732515,0.7839482422,0.2160517578,0.0356794215,0,0.7140178611,0.8538786233,LINEAR
1,0.6714201313,0.6743929027,0.6392116381,0.3607883619,0.0393491407,0,0.5620887395,0.7163345367,LINEAR
1,0.6938613101,0.6940889402,0.6392116381,0.3607883619,0.0393491407,8.6455976936,0.5620887395,0.7163345367,LINEAR
1,0.7028168247,0.7070016281,0.6392116381,0.3607883619,0.0393491407,10.073353965,0.5620887395,0.7163345367,LINEAR
1,0.710933751,0.7117044369,0.6392116381,0.3607883619,0.0393491407,6.3601863431,0.5620887395,0.7163345367,LINEAR
1,0.7143312856,0.7179465871,0.6392116381,0.3607883619,0.0393491407,6.1131861678,0.5620887395,0.7163345367,LINEAR
1,0.7245311034,0.7246981291,0.5678975814,0.4321024186,0.0383753951,0,0.4926831891,0.6431119737,LINEAR
1,0.7298478638,0.7446268927,0.5678975814,0.4321024186,0.0383753951,1.4269308048,0.4926831891,0.6431119737,LINEAR
1,0.7676502054,0.770855982,0.5678975814,0.4321024186,0.0383753951,6.0175847223,0.4926831891,0.6431119737,LINEAR
1,0.7868591642,0.7975709829,0.5678975814,0.4321024186,0.0383753951,1.5138857044,0.4926831891,0.6431119737,LINEAR
1,0.7993746339,0.7995384964,0.5678975814,0.4321024186,0.0383753951,1.4760073249,0.4926831891,0.6431119737,LINEAR
1,0.8026668672,0.8084961529,0.5678975814,0.4321024186,0.0383753951,0.7765820113,0.4926831891,0.6431119737,LINEAR
1,0.8089410104,0.8136184222,0.5678975814,0.4321024186,0.0383753951,0.9644207994,0.4926831891,0.6431119737,LINEAR
1,0.8226849481,0.8261516708,0.5678975814,0.4321024186,0.0383753951,4.3159232087,0.4926831891,0.6431119737,LINEAR
1,0.8319538855,0.834415022,0.5678975814,0.4321024186,0.0383753951,1.302219996,0.4926831891,0.6431119737,LINEAR
1,0.8441691417,0.84774112,0.5488125262,0.4511874738,0.0382154503,0,0.4739116199,0.6237134325,LINEAR
