strata,trt,LeftBoundary,RightBoundary,SurvProb,FailProb,IMStderr,LagrangeMult,SurvProb_LCL,SurvProb_UCL,ConfType
S1,1,1.6963089085,1.7098123128,0.3147601356,0.6852398644,0.0395241936,3.0224819027,0.2372941396,0.3922261317,LINEAR
S1,1,1.721551076,1.722976603,0.3147601356,0.6852398644,0.0395241936,1.3048025085,0.2372941396,0.3922261317,LINEAR
S1,1,1.724760666,1.7256344198,0.2355274934,0.7644725066,0.0365701738,0,0.1638512699,0.3072037169,LINEAR
S1,1,1.7655198574,1.7662772824,0.2355274934,0.7644725066,0.0365701738,6.3442408276,0.1638512699,0.3072037169,LINEAR
S1,1,1.7911741673,1.7913828641,0.2355274934,0.7644725066,0.0365701738,1.6296051036,0.1638512699,0.3072037169,LINEAR
S1,1,1.7941447026,1.8050454347,0.1473753741,0.8526246259,0.0304315075,0,0.0877307154,0.2070200328,LINEAR
S1,1,1.9007424093,1.9103253199,0.1473753741,0.8526246259,0.0304315075,3.3498734626,0.0877307154,0.2070200328,LINEAR
S1,1,1.9442506963,1.9447470563,0.1473753741,0.8526246259,0.0304315075,2.9018731383,0.0877307154,0.2070200328,LINEAR
S1,1,1.9795215386,1.9889452499,0.1473753741,0.8526246259,0.0304315075,2.4493087687,0.0877307154,0.2070200328,LINEAR
S1,1,2.0808777991,2.1009126482,0.1473753741,0.8526246259,0.0304315075,7.1289539409,0.0877307154,0.2070200328,LINEAR
S1,1,2.1321873646,2.2282646177,0.0513168884,0.9486831116,0.0194379173,0,0.0132192706,0.0894145063,LINEAR
S1,1,2.3147415672,2.3192248521,0.0513168884,0.9486831116,0.0194379173,8.2328264728,0.0132192706,0.0894145063,LINEAR
S1,1,2.4142523776,2.4309892868,0.0492933881,0.9507066119,0.0190598256,0,0.0119368163,0.0866499599,LINEAR
S1,1,2.4778203322,2.4822650467,0.0296065242,0.9703934758,0.0155020889,0,0,0.0599900601,LINEAR
S1,1,2.748923115,2.7632625824,0,1,0,0,0,0,LINEAR
S2,0,0,0.1350975581,0.9205033582,0.0794966418,0.0229739694,0,0.8754752055,0.9655315108,LINEAR
S2,0,0.2886496088,0.4168518069,0.9205033582,0.0794966418,0.0229739694,3.4804224506,0.8754752055,0.9655315108,LINEAR
S2,0,0.4801378818,0.5741211073,0.9118634545,0.0881365455,0.0238543998,0,0.8651096899,0.958617219,LINEAR
S2,0,0.6008672277,0.6195767195,0.9118634545,0.0881365455,0.0238543998,6.0118117911,0.8651096899,0.958617219,LINEAR
S2,0,0.6308800587,0.6634614882,0.9118634545,0.0881365455,0.0238543998,7.813269362,0.8651096899,0.958617219,LINEAR
S2,0,0.7391770468,0.7445939811,0.9118634545,0.0881365455,0.0238543998,15.96344159,0.8651096899,0.958617219,LINEAR
S2,0,0.7592989709,0.7933159437,0.9118634545,0.0881365455,0.0238543998,19.645050752,0.8651096899,0.958617219,LINEAR
S2,0,0.8382089362,0.8411871576,0.7664611097,0.2335388903,0.0323420212,0,0.703071913,0.8298503064,LINEAR
S2,0,0.969584669,0.9766410202,0.7664611097,0.2335388903,0.0323420212,9.8722930708,0.703071913,0.8298503064,LINEAR
